symbol	loading
FNBP1L	-0.0146959415293611
SMYD2	-0.0146929029147704
DSTN	-0.0146900668900731
DAD1	-0.0146866912496349
FTH1	-0.0146865519743209
SEC61G	-0.0146859080636156
TBL1XR1	-0.0146785434452824
PIP5K1B	-0.0146784048039882
ASNSD1	-0.0146770032158596
STX7	-0.0146765206695263
ARCN1	-0.0146764930016688
CHMP5	-0.0146724501529057
CAPN2	-0.0146713286868126
ADD3	-0.0146644920085809
CAPZA1	-0.0146635221593896
STK38	-0.0146582924309308
NSF	-0.0146579758977564
FBXO34	-0.0146572240484196
TRIM36	-0.0146558409859697
ANKMY2	-0.0146539587014938
TDP2	-0.0146531792401475
SOAT1	-0.0146518817050859
FUT8	-0.0146494832744593
PLSCR1	-0.0146485667232728
SGPL1	-0.0146479860962047
RALB	-0.0146451728847181
RIN2	-0.0146443472720659
UBA3	-0.0146428672048363
ETFA	-0.0146427054475935
RAB1A	-0.0146384826233487
PNRC2	-0.014637759062893
PRPF40A	-0.0146373680106781
SEC24B	-0.0146344242184295
TENM4	-0.0146322034136381
PLEKHB2	-0.0146317205143862
SMAD1	-0.0146274746369838
SHOC2	-0.0146223968829128
CLASP1	-0.0146221607289309
TDRD7	-0.0146177847838789
HIST1H2BG	-0.0146156942633738
SFXN1	-0.0146093225474348
PROS1	-0.0146077575767599
TJP1	-0.0146035981118814
DAZAP2	-0.0146033931881283
FLRT2	-0.0145971678185117
MYO6	-0.0145959186729081
RNF14	-0.0145952178063814
NGLY1	-0.0145942370895346
OLFML1	-0.0145932477977601
SLC35A3	-0.014592019639059
NEK3	-0.0145890446037592
ISOC1	-0.0145873760517299
KDM7A	-0.0145853687173269
GABARAPL1	-0.0145788017394967
UFC1	-0.0145735913255321
IL13RA1	-0.0145732065413276
AKIP1	-0.0145728324075017
KRT8	-0.014566473272852
DUSP5	-0.0145588075083757
ACOX3	-0.0145564788043077
CREB3L2	-0.0145516990846771
GRSF1	-0.0145439409555866
GATA6	-0.0145370431407686
S100A10	-0.0145369144581576
FLNB	-0.0145347973498873
TFG	-0.0145342866464743
MYL6	-0.0145312931726439
EFHD2	-0.0145304209812782
TES	-0.0145296874540233
CAPZA2	-0.0145267161479038
TNC	-0.014524237600161
BCL2L14	-0.0145226501857085
MYOF	-0.0145199714659905
DNAJB4	-0.0145193561169684
USP4	-0.0145178071067512
OAZ1	-0.0145176084485989
NARS2	-0.0145143834637334
SPAG9	-0.0145140253932671
SEPT10	-0.0145129508443043
