tair_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol_annot	symbol	change	change_labeled
AT2G37195	90.2564320073342	0.427151910637851	0.212059086417998	2.01430609672568	0.0439774062725864	0.0530766268172885		AT2G37195	NotSig	NotSig
AT2G42010	798.93997365799	0.678795953485986	0.108484275347459	6.2570907286969	3.92225254803007e-10	2.37234885362244e-09	PLDBETA	PLDBETA	Up-regulated	Up-regulated (16804)
AT2G38860	1181.46001404533	0.663252926417183	0.140187051481698	4.73119963225545	2.23196888345906e-06	6.0866475010974e-06	DJ-1e	DJ-1e	Up-regulated	Up-regulated (16804)
AT2G37230	726.894547894785	0.927146436585407	0.108928477682757	8.51151559544995	1.71674435890204e-17	5.3190506006526e-16	RPPR5	RPPR5	Up-regulated	Up-regulated (16804)
AT2G26990	1694.91372645337	0.533042721401197	0.145195424783278	3.67120880149515	0.000241406016797999	0.000427940381201681	ATCSN2	ATCSN2	Up-regulated	Up-regulated (16804)
AT2G19440	23.7757382750273	0.489204075852481	0.35150609020437	1.39173712628436	0.164002015409928	0.182303586387068	ZETH	ZETH	NotSig	NotSig
AT2G02820	335.272771880085	0.711433510885102	0.148060984020575	4.8050032599151	1.54748983688769e-06	4.37803451574249e-06	AtMYB88	AtMYB88	Up-regulated	Up-regulated (16804)
AT2G38380	6526.6227663333	0.99850480566197	0.0802182338552996	12.4473546433733	1.44557431431875e-35	6.04191060352001e-33		AT2G38380	Up-regulated	Up-regulated (16804)
AT2G38940	265.695865969753	0.896656183923126	0.150050151437686	5.97570995651743	2.29090278183629e-09	1.17177045384634e-08	ATPT2	ATPT2	Up-regulated	Up-regulated (16804)
AT2G19330	22.5011393723765	0.403284622711841	0.378550431421732	1.06533922361999	0.286722449021775	0.308585619631402	PIRL6	PIRL6	NotSig	NotSig
AT2G18950	369.932429786352	0.54817698714257	0.131181909850515	4.17875443166845	2.93109962316566e-05	6.28443470293474e-05	ATHPT	ATHPT	Up-regulated	Up-regulated (16804)
AT2G40160	80.2206089260032	0.338042511548584	0.239245943897873	1.4129498124026	0.157670481248105	0.175656392099287	TBL30	TBL30	NotSig	NotSig
AT2G22470	1278.13657390539	0.843325717037945	0.11981168528287	7.03876015971974	1.93957889923304e-12	1.95196932954755e-11	AGP2	AGP2	Up-regulated	Up-regulated (16804)
AT2G01940	214.974454655025	0.750544562557103	0.147119025544981	5.10161455853054	3.36768074222698e-07	1.09982620954885e-06	ATIDD15	ATIDD15	Up-regulated	Up-regulated (16804)
AT2G43400	2094.24600514048	0.448562859907855	0.0904654541814619	4.95838841430118	7.10803452707101e-07	2.16207555494451e-06	ETFQO	ETFQO	Up-regulated	Up-regulated (16804)
AT2G33540	993.552102801836	0.546254021963378	0.125087868967728	4.36696241187313	1.25986398485548e-05	2.91745979306199e-05	ATCPL3	ATCPL3	Up-regulated	Up-regulated (16804)
AT2G24960	99.6825326319336	0.87211644420874	0.197319031290915	4.41982934186893	9.87788762703179e-06	2.34278099133308e-05		AT2G24960	Up-regulated	Up-regulated (16804)
AT2G25610	1093.34602643839	0.477085245375463	0.143723150508429	3.31947388912465	0.000901872384340968	0.00143525887258552	"VHA-c"""	"VHA-c"""	Up-regulated	Up-regulated (16804)
AT2G32210	14.300300413522	0.0677408756376733	0.480113616805151	0.141093427194266	0.887796136048202	0.894962830590036	AthCYSTM6	AthCYSTM6	NotSig	NotSig
AT2G17320	927.045114025659	0.463001018194223	0.115665756231882	4.00292215498957	6.25648927873947e-05	0.000125313350052405		AT2G17320	Up-regulated	Up-regulated (16804)
AT2G15300	229.904793274801	0.585775600425806	0.15144289213638	3.86796364069893	0.000109748023854666	0.000208326956024058		AT2G15300	Up-regulated	Up-regulated (16804)
AT2G25130	22.2675800621089	0.49530008294671	0.357698031263105	1.38468775239747	0.166147965702649	0.184568796788362		AT2G25130	NotSig	NotSig
AT2G22680	394.541163887046	0.952407065258877	0.127033753259283	7.49727565173141	6.51578627233845e-14	9.27978462152236e-13	WAVH1	WAVH1	Up-regulated	Up-regulated (16804)
AT2G40330	380.192573950197	0.777968022245498	0.131558992182711	5.91345379998843	3.35007524632432e-09	1.65244559356267e-08	PYL6	PYL6	Up-regulated	Up-regulated (16804)
AT2G02540	46.9544177734002	0.715006059397574	0.257218689569548	2.77975935805491	0.00543991938962075	0.00754296202433534	ATHB21	ATHB21	Up-regulated	Up-regulated (16804)
